TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo,skel_TP,skel_FP,skel_FN,skel_TN,skel_SHD,skel_TPR,skel_FPR,skel_FDR,orient_TP,orient_FP,orient_FN,orient_TN,orient_SHD,orient_TPR,orient_FPR,orient_FDR
2.0,11.0,7.0,29.0,18.0,0.2222222222222222,0.275,0.8461538461538461,casual_effect,device_failure_data,dagslam,,,,,,,,,,,,,,,,
9.0,26.0,0.0,14.0,26.0,1.0,0.65,0.7428571428571429,casual_effect,student_tutoring_data,dagslam,,,,,,,,,,,,,,,,
3.0,1.0,0.0,12.0,1.0,1.0,0.0769230769230769,0.25,causal_direction_iv,clinical_trial_sem,dagslam,,,,,,,,,,,,,,,,
2.0,7.0,1.0,6.0,8.0,0.6666666666666666,0.5384615384615384,0.7777777777777778,causal_direction_iv,ecommerce_sem,dagslam,,,,,,,,,,,,,,,,
2.0,7.0,1.0,6.0,8.0,0.6666666666666666,0.5384615384615384,0.7777777777777778,causal_direction_iv,environment_sem,dagslam,,,,,,,,,,,,,,,,
3.0,6.0,0.0,7.0,6.0,1.0,0.4615384615384615,0.6666666666666666,causal_direction_iv,marketing_sem,dagslam,,,,,,,,,,,,,,,,
0.0,3.0,4.0,9.0,7.0,0.0,0.25,1.0,counterfactual_reasoning,climate_impact_sem,dagslam,,,,,,,,,,,,,,,,
0.0,3.0,4.0,9.0,7.0,0.0,0.25,1.0,counterfactual_reasoning,clinical_trial_sem,dagslam,,,,,,,,,,,,,,,,
0.0,3.0,4.0,9.0,7.0,0.0,0.25,1.0,counterfactual_reasoning,education_performance_sem,dagslam,,,,,,,,,,,,,,,,
0.0,3.0,4.0,9.0,7.0,0.0,0.25,1.0,counterfactual_reasoning,investment_outcome_sem,dagslam,,,,,,,,,,,,,,,,
0.0,3.0,4.0,9.0,7.0,0.0,0.25,1.0,counterfactual_reasoning,manufacturing_quality_sem,dagslam,,,,,,,,,,,,,,,,
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,dag_structure_markequi_sem,dagslam,,,,,,,,,,,,,,,,
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,sleep_alertness_productivity,dagslam,,,,,,,,,,,,,,,,
